Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM5","MemberRoleStack/SHARR-Remediation-Policy-EnableCloudTrailToCloudWatchLogging/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","MemberRoleStack/ctcwremediationrole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","MemberRoleStack/ctcwremediationrole/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/ctcwremediationrole/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableCloudTrailToCloudWatchLogging/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableCloudTrailToCloudWatchLogging/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableCloudTrailToCloudWatchLogging/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableCloudTrailToCloudWatchLogging/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableCloudTrailToCloudWatchLogging/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","MemberRoleStack/RemediationRole EnableCloudTrailToCloudWatchLogging/MemberAccountRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableCloudTrailToCloudWatchLogging/MemberAccountRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/SHARR-Remediation-Policy-EnableCloudTrailEncryption/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableCloudTrailEncryption/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableCloudTrailEncryption/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableCloudTrailEncryption/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableCloudTrailEncryption/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableCloudTrailEncryption/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","MemberRoleStack/RemediationRole EnableCloudTrailEncryption/MemberAccountRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableCloudTrailEncryption/MemberAccountRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/SHARR-Remediation-Policy-EnableDefaultEncryptionS3/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableDefaultEncryptionS3/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableDefaultEncryptionS3/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableDefaultEncryptionS3/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableDefaultEncryptionS3/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableDefaultEncryptionS3/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","MemberRoleStack/RemediationRole EnableDefaultEncryptionS3/MemberAccountRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableDefaultEncryptionS3/MemberAccountRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
